,CIMCIC,CooperateBot,CupodBot,CupodTrollBot,DBot,DIMCID,DefectBot,DupocBot,EBot,MaxConfidenceBot,MinConfidenceBot,OBot,PrudentBot,TitForTatBot
CIMCIC,0,3,0,3,0,0,0,0,0,0,3,0,0,0
CooperateBot,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
CupodBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
CupodTrollBot,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
DBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
DIMCID,0,3,0,3,0,0,0,0,0,0,3,0,0,0
DefectBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
DupocBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
EBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
MaxConfidenceBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
MinConfidenceBot,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
OBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
PrudentBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
TitForTatBot,0,3,0,3,0,0,0,0,0,0,3,0,0,0
